,Sp
299,[0.40014463663101196]
300,[1.0]
301,[1.0]
302,[0.9170209318399429]
303,[0.9170209318399429]
304,[0.5212384462356567]
305,[0.5212384462356567]
306,[1.0]
307,[1.0]
308,[0.9572869352996349]
309,[0.9572869352996349]
310,[1.0]
311,[1.0]
312,[0.6550446152687073]
313,[0.6550446152687073]
314,[0.7698311060667038]
315,[0.7698311060667038]
316,[0.8872635588049889]
317,[0.8872635588049889]
318,[0.6836816370487213]
319,[0.6836816370487213]
320,[0.8822493553161621]
321,[0.8822493553161621]
322,[0.1895197033882141]
323,[0.1895197033882141]
324,[1.0]
325,[1.0]
326,[1.0]
327,[1.0]
328,[1.0]
329,[1.0]
330,[0.5983682572841644]
331,[0.5983682572841644]
332,[1.0]
333,[1.0]
334,[0.5317111015319824]
335,[0.5317111015319824]
336,[0.7810963839292526]
337,[0.7810963839292526]
338,[1.0]
339,[1.0]
340,[0.7765770256519318]
341,[0.7765770256519318]
342,[1.0]
343,[1.0]
344,[1.0]
345,[1.0]
346,[0.5667277574539185]
347,[0.5667277574539185]
348,[0.7509362995624542]
349,[0.7509362995624542]
350,[1.0]
351,[1.0]
352,[0.9776768144220114]
353,[0.9776768144220114]
354,[0.7568917572498322]
355,[0.7568917572498322]
356,[0.32930755615234375]
357,[0.32930755615234375]
358,[0.03446066379547119]
359,[0.03446066379547119]
360,[0.4770299792289734]
361,[0.4770299792289734]
362,[1.0]
363,[1.0]
364,[0.4885910749435425]
365,[0.4885910749435425]
366,[1.0]
367,[1.0]
368,[0.25427883863449097]
369,[0.25427883863449097]
370,[0.3483387231826782]
371,[0.3483387231826782]
372,[0.4524041414260864]
373,[0.4524041414260864]
374,[1.0]
375,[1.0]
376,[1.0]
377,[1.0]
378,[0.14057129621505737]
379,[0.14057129621505737]
380,[1.0]
381,[1.0]
382,[1.0]
383,[1.0]
384,[1.0]
385,[1.0]
386,[0.6172364056110382]
387,[0.6172364056110382]
388,[1.0]
389,[1.0]
390,[0.8059857934713364]
391,[0.8059857934713364]
392,[0.4209514856338501]
393,[0.4209514856338501]
394,[1.0]
395,[1.0]
396,[0.5517105162143707]
397,[0.5517105162143707]
398,[1.0]
399,[1.0]
400,[1.0]
401,[1.0]
402,[1.0]
403,[1.0]
404,[1.0]
405,[1.0]
406,[0.6329675912857056]
407,[0.6329675912857056]
408,[0.5752978026866913]
409,[0.5752978026866913]
410,[0.7699905782938004]
411,[0.7699905782938004]
412,[1.0]
413,[1.0]
414,[1.0]
415,[1.0]
416,[1.0]
417,[1.0]
418,[1.0]
419,[1.0]
420,[0.8609476089477539]
421,[0.8609476089477539]
422,[1.0]
423,[1.0]
424,[0.1548193097114563]
425,[0.1548193097114563]
426,[0.749178409576416]
427,[0.749178409576416]
428,[1.0]
429,[1.0]
